empresa_id,tipo,descripcion,categoria,monto,fecha,referencia
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,PAGO EN LINEA PREVIRED,Leyes sociales,385628,2026-07-13,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,PAGO EN LINEA PREVIRED,Leyes sociales,568968,2026-07-13,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,0777970151 Transf a SOCIEDAD FARMACEUTI,Gastos generales,13213,2026-07-09,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,0764365631 Transf a SERVICIOS INFORMATICOS ASISMA LIMITADA,Controlfarma software,72869,2026-07-09,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,0761111132 Transf a Clinical market,Proveedores,30299,2026-07-09,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,Transf.Internet a 76.187.287-7,Proveedores,961958,2026-07-09,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,PAGO EN LINEA PROVEFARMA SPA,Proveedores,1085654,2026-07-09,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,Pago Cuota Crédito N° 420051489518,Préstamos,591156,2026-07-07,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,Traspaso Internet a T. Crédito,Tarjeta de crédito,256257,2026-07-07,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,0194441835 Transf a Matías Tapia,Préstamos,563641,2026-07-07,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,0796830107 Transf a Humeriano Gatica y CIA LTDA,Arriendos pagados,624000,2026-07-07,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,Transf.Internet a 76.187.287-7,Proveedores,438100,2026-07-01,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,PAGO EN LINEA PROVEFARMA SPA,Proveedores,786698,2026-07-01,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,Transf.Internet a 76.187.287-7,Proveedores,256638,2026-07-01,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,0208242326 Transf a María Henriquez (Boleta honorario),Boletas de honorarios,58128,2026-07-30,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,0211917830 Transf a FAJARDO AVENDANO FR (Boleta honorario),Boletas de honorarios,262356,2026-07-30,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,0213689339 Transf a Jaqueline quintana (Boleta honorario),Boletas de honorarios,315900,2026-07-30,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,0194441835 Transf a Matías Tapia (Remuneración mensual),Remuneraciones,1800000,2026-07-30,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,0211952598 Transf a Sebastián Enrique Inostroza Valenzuela (Remuneración mensual),Remuneraciones,1700000,2026-07-30,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,Comisión TUU (Transbank) - total julio,Gastos generales,238520,2026-07-31,
